Animal,runno,Day,Acq Number,genotype,sex,age,age_group,Pool time,Pool Distance,NW Time,NW Distance,NE Time,NE Distance,SE Time,SE Distance,SW Time,SW Distance,NormSWTime,NormSWDist,Average Pool Speed,Average SW Speed
170313_1,N54837,Day5,4,0,F,380,old,3.7,0.361,0,0,0,0,0,0,3.7,0.361,1,1,0.0975675676,0.0975675676
170313_2,N54838,Day5,4,0,F,380,old,12.8,15.797,2.5,4.326,0,0,3.4,5.047,6.9,6.424,0.5390625,0.4066594923,1.234140625,0.9310144928
170313_3,N54843,Day5,4,0,M,380,old,11.8,7.636,6.4,5.572,0,0,0,0,5.4,2.065,0.4576271186,0.2704295443,0.6471186441,0.3824074074
170313_4,N54844,Day5,4,0,M,380,old,4.9,4.425,1,2.786,0,0,0,0,3.9,1.639,0.7959183673,0.3703954802,0.9030612245,0.4202564103
170313_5,N54856,Day5,4,0,M,380,old,8.6,9.799,2.8,5.834,0,0,0,0,5.8,3.966,0.6744186047,0.4047351771,1.1394186047,0.6837931034
170313_6,N54857,Day5,4,0,M,380,old,15.2,13.732,0.3,0.492,0.7,1.344,3.1,3.376,11,8.521,0.7236842105,0.6205214098,0.9034210526,0.7746363636
170313_7,N54858,Day5,4,0,M,380,old,11.6,10.422,2.6,4.359,0.3,0,0,0,8.7,6.063,0.75,0.5817501439,0.8984482759,0.6968965517
170501_3,N54891/N54900LRspecific,Day5,4,0,M,381,old,8.7,3.015,0,0,0,0,0,0,8.7,3.015,1,1,0.3465517241,0.3465517241
170501_4,N54892,Day5,4,0,F,381,old,10.1,12.323,0.5,0.426,3.7,7.407,1,1.606,4.9,2.884,0.4851485149,0.2340339203,1.2200990099,0.5885714286
170501_5,N54893,Day5,4,0,M,381,old,46.4,43.196,23.7,20.975,1.2,1.147,4.8,7.931,16.7,13.142,0.3599137931,0.3042411334,0.9309482759,0.7869461078
170501_6,N54897,Day5,4,0,M,381,old,16.6,14.224,4.2,5.604,0,0,4.5,4.195,7.9,4.425,0.4759036145,0.3110939258,0.8568674699,0.5601265823
170501_7,N54898,Day5,4,0,F,381,old,3.7,0.918,0,0,0,0,0,0,3.7,0.918,1,1,0.2481081081,0.2481081081
170501_8,N54899,Day5,4,0,F,381,old,17.4,7.276,5.6,1.54,0,0,0,0,11.8,5.735,0.6781609195,0.7882078065,0.4181609195,0.4860169492
161107_1,N54716/N54915,ProbeTrial1,1,4,F,383,old,60,60.534,13.9,12.716,30.4,31.758,13.7,13.896,2,2.163,0.0333333333,0.0357319853,1.0089,1.0815
161107_2,N54714/N54916,ProbeTrial1,1,4,F,383,old,60,69.219,23.8,25.138,0,0,12.3,15.076,23.9,29.005,0.3983333333,0.4190323466,1.15365,1.2135983264
161107_3,N54717,ProbeTrial1,1,4,F,383,old,60,86.786,17.9,24.941,8.2,10.357,16.2,26.416,17.6,25.072,0.2933333333,0.2888945222,1.4464333333,1.4245454545
161107_4,N54715/N54917,ProbeTrial1,1,4,M,379,old,60,110.711,8.2,16.158,5.5,9.373,18.2,33.921,28.1,51.259,0.4683333333,0.4629982567,1.8451833333,1.8241637011
161107_5,N54718//N54721,ProbeTrial1,1,4,M,379,old,60,100.289,12.3,19.107,9.8,16.551,17,30.054,20.9,34.577,0.3483333333,0.3447736043,1.6714833333,1.6544019139
161107_6,N54719,ProbeTrial1,1,4,M,379,old,60,63.287,22.7,22.123,2.2,1.966,8,11.831,27.1,27.366,0.4516666667,0.4324110797,1.0547833333,1.0098154982
161107_7,N54720,ProbeTrial1,1,4,M,379,old,60,58.6,14.1,13.339,16.8,14.486,16.2,17.174,12.9,13.601,0.215,0.2320989761,0.9766666667,1.0543410853
161107_8,N54722,ProbeTrial1,1,4,M,379,old,60,106.319,6.8,13.11,10.1,13.601,16.8,32.61,26.3,46.998,0.4383333333,0.4420470471,1.7719833333,1.7869961977
170123_1,N54760/N54754/N54755,ProbeTrial1,1,0,F,400,old,60,111.76,12.7,27.039,3.5,7.112,12.9,24.122,30.9,53.487,0.515,0.4785880458,1.8626666667,1.7309708738
170123_2,N54757/N54759,ProbeTrial1,1,0,F,400,old,60,112.219,14.6,28.612,2.1,4.982,8.3,17.764,35.1,60.862,0.585,0.5423502259,1.8703166667,1.733960114
170123_3,N54765,ProbeTrial1,1,0,F,400,old,60,84.328,7.5,12.356,1.7,4.392,6.7,13.274,44.1,54.307,0.735,0.6439972488,1.4054666667,1.2314512472
170123_4,N54766,ProbeTrial1,1,4,M,396,old,60,49.325,26.5,21.533,30.3,23.958,0,0,3.2,3.835,0.0533333333,0.0777496199,0.8220833333,1.1984375
170123_5,N54770,ProbeTrial1,1,4,M,396,old,60,85.573,20.1,30.873,4.5,6.948,1.1,2.065,34.3,45.687,0.5716666667,0.533895037,1.4262166667,1.3319825073
170123_6,N54761,ProbeTrial1,1,4,F,396,old,60,65.909,12.9,12.782,5.3,6.325,12.5,13.667,29.4,33.135,0.49,0.5027386245,1.0984833333,1.1270408163
170123_7,N54762,ProbeTrial1,1,4,F,396,old,60,60.567,11.1,11.93,2.1,3.441,8.6,9.734,38.1,35.462,0.635,0.585500355,1.00945,0.9307611549
170123_8,N54763,ProbeTrial1,1,4,F,396,old,60,28.71,3.1,3.015,8.5,11.176,3.2,5.867,45.1,8.652,0.7516666667,0.3013584117,0.4785,0.1918403548
170123_9,N54764,ProbeTrial1,1,4,F,396,old,60,96.618,14,22.876,1.3,2.294,7.1,13.47,37.6,57.978,0.6266666667,0.6000745203,1.6103,1.5419680851
170123_10,N54771,ProbeTrial1,1,3,F,388,old,60,95.799,12.8,18.976,4.1,7.309,21.4,33.528,21.8,35.986,0.3633333333,0.3756406643,1.59665,1.650733945
