Test,Animal,Treatment,Sex,APOE,Code,Stage,age,Trial,Apparatus,Object1 : head entries,Object1 : head time,Object1_Day2_3_5: RI,Object1 : latency to first entry,Object1 : time mobile,Object1 : time immobile,Object1 : in zone oriented to centre,Object1 : time freezing,Object2 : head entries,Object2 : head time,Object2_Day2_3_5.RI,Object2 : latency to first entry,Object2 : time mobile,Object2 : time immobile,Object2 : in zone oriented to centre,Object2 : time freezing,Outerzone : head entries,Outerzone : head time,Outerzone : distance,Outerzone : latency to first entry,Outerzone : average speed,Outerzone : time mobile,Outerzone : time immobile,Total_Time_Mobile,Outerzone : time freezing,Centerzone : head entries,Centerzone : head time,Centerzone : distance,Centerzone : latency to first entry,Centerzone : average speed,Centerzone : time mobile,Centerzone : time immobile,Centerzone : time freezing,Object 3 : head entries,Object 3 : head time,Object 3 : latency to first entry,Object 3 : in zone oriented to centre,Object 4 : head entries,Object4.headtime,Object 4 : latency to first entry,Object 4 : in zone oriented to centre,Object1Center : head time oriented towards,Object2Center : head time oriented towards,Total_Distance_Mobile,Total Time Freezing
32,200331_12,APOE22M,M,APOE2/2,B,Dilutions,old,1,2Objects_NOR,4,5.6,0.56,4.7,5.6,0,2.6,0,6,4.4,0.44,10.3,4.4,0,1.4,0,14,72.6,4.055,1.7,0.055,54.7,19,63.5,12.1,16,11.1,0.905,0,0.103,8.8,0,0,8,15.4,71.8,0,4,2.2,87.2,0.3,13.3,15.4,4.96,12.1
33,200331_11,APOE22M,M,APOE2/2,B,Dilutions,old,1,2Objects_NOR_2,8,7.9,0.537414966,0.8,7.9,0,5.2,1.2,8,6.8,0.462585034,2.1,5.1,1.7,5.2,0,27,76.3,6.774,9.5,0.071,81.2,14.3,89,8,7,12.3,0.452,0,0.045,7.8,2.2,0,4,2.9,,0,3,3.8,,0,,,7.226,8
34,200331_13,APOE22M,M,APOE2/2,B,Dilutions,old,1,2Objects_NOR,4,4.9,0.690140845,7.4,4.9,0,2.9,0,3,2.2,0.309859155,77,2.2,0,1.9,0,22,90,3.638,4.8,0.04,46.9,44.2,50.9,29.5,7,10,0.134,0,0.033,4,0,0,4,2.1,,0,4,1.9,,0,8.2,6.8,3.772,29.5
43,200331_2,APOE22F,F,APOE2/2,A,Dilutions,old,2,2Objects_NOR_2,2,1.2,0.52173913,17.1,1.2,0,1,0,4,1.1,0.47826087,0,1.1,0,0.2,0,13,108.2,3.006,2.1,0.028,42.8,64.3,44.1,24.8,2,1,0.07,0,0.053,1.3,0,0,0,0,,0,1,1.9,,0,,,3.076,24.8
44,200331_1,APOE22F,F,APOE2/2,A,Dilutions,old,2,2Objects_NOR,0,0,,,0,0,0,0,0,0,,,0,0,0,0,4,117.2,2.259,2.8,0.019,36.5,80.7,38.2,63.2,1,1.1,0.068,0,0.041,1.7,0,0,1,1,,0,0,0,,0,7.1,2.8,2.327,63.2
45,200331_4,APOE22F,F,APOE2/2,A,Dilutions,old,2,2Objects_NOR,1,0.4,0.285714286,116.3,0.4,0,0.4,0,2,1,0.714285714,2.6,1,0,0.9,0,11,108.4,3.883,5.1,0.034,55.3,58.8,60.1,53.5,1,4.3,0.219,0,0.046,4.8,0,0,1,0.7,,0,1,0.6,,0,14.1,9.8,4.102,53.5
46,200331_3,APOE22F,F,APOE2/2,A,Dilutions,old,2,2Objects_NOR_2,3,6.7,0.396449704,0,4.3,2.4,4.5,0,9,10.2,0.603550296,1.1,6.1,4,0.7,2.2,25,83.5,2.814,3,0.033,39.6,45.4,44.6,37.5,9,11.2,0.288,0,0.058,5,0,0,4,2.1,,0,1,2.3,69.3,0,,,3.102,37.5
47,200331_5,APOE22F,F,APOE2/2,A,Dilutions,old,2,2Objects_NOR,6,12.9,0.796296296,0.3,12.9,0,2.5,0,1,3.3,0.203703704,97.5,0.2,3,1.6,0,12,88.2,4.804,3.3,0.056,55.3,31.3,63.1,19,11,13.5,0.208,0,0.027,7.8,0,0,2,3.2,,0,2,2,,0,12.8,11.2,5.012,19
48,200331_6,APOE22F,F,APOE2/2,A,Dilutions,old,2,2Objects_NOR_2,1,0.4,0.666666667,0.8,0.4,0,0.4,0,1,0.2,0.333333333,0,0.2,0,0.1,0,4,113.4,0.886,3.5,0.008,21.1,94.8,24.1,97.9,2,2.7,0.139,0,0.046,3,0,0,0,0,,0,1,0.7,,0,,,1.025,97.9
49,200331_8,APOE22F,F,APOE2/2,A,Dilutions,old,2,2Objects_NOR,1,1.9,0.240506329,89,1.9,0,0,0,6,6,0.759493671,0,6,0,3,0,20,74.9,2.819,1.5,0.039,49.9,21.8,56.8,18.3,6,9.5,0.35,0,0.051,6.9,0,0,8,6.4,104.2,0,4,2.9,,0,12.8,12.2,3.169,18.3
