Test,Animal,Treatment,Sex,APOE,Code,Stage,Trial,Apparatus,Object1 : head entries,Object1.headtime,Object1_Day2_3_5: RI,Object1 : latency to first entry,Object1 : time mobile,Object1 : time immobile,Object1 : in zone oriented to centre,Object1 : time freezing,Object2 : head entries,Object2.headtime,Object2_Day2_3_5.RI,Object2 : latency to first entry,Object2 : time mobile,Object2 : time immobile,Object2 : in zone oriented to centre,Object2 : time freezing,Outerzone : head entries,Outerzone.headtime,Outerzone.distance,Outerzone : latency to first entry,Outerzone : average speed,Outerzone : time mobile,Outerzone : time immobile,Total_Time_Mobile,Outerzone.time.freezing,Centerzone : head entries,Centerzone.headtime,Centerzone.distance,Centerzone : latency to first entry,Centerzone : average speed,Centerzone : time mobile,Centerzone : time immobile,Centerzone.time.freezing,Object 3 : head entries,Object 3.headtime,Object 3 : latency to first entry,Object 3 : in zone oriented to centre,Object 4 : head entries,Object4.headtime,Object 4 : latency to first entry,Object 4 : in zone oriented to centre,Object1Center : head time oriented towards,Object2Center : head time oriented towards,Total.Distance,Total.Time.Freezing
3,190715_4,HNf,F,HN,C,openfield,1,2Objects_NOR_2,19,15.1,0.48089172,38.1,8.4,6.6,5.4,5.4,16,16.3,0.51910828,3.2,15.8,0.5,3.5,1.3,67,372,8.682,0,0.027,186.3,138.5,231.4,54.9,37,77,3.49,3.9,0.052,45.1,22.7,10.5,20,29.9,17.9,0.2,17,17.6,88.4,0,,,12.172,65.4
4,190715_3,APOE3/3M,M,APOE3/3,B,openfield,1,2Objects_NOR,27,35.8,0.73814433,8.7,20.6,15.3,5.9,6.2,13,12.7,0.26185567,13.3,11.9,0.8,2.4,0,75,350.7,8.736,22.8,0.028,173.1,140.1,235.6,23,50,78.9,3.306,0,0.042,62.5,15.5,4.7,9,11.9,83.4,0,18,15.4,31.8,0,39.3,45,12.042,27.7
5,190715_6,APOE2/2M,M,APOE2/2,A,openfield,1,2Objects_NOR,21,26.1,0.674418605,66.5,16.2,9.9,2.7,3.3,23,12.6,0.325581395,46,12.1,0.5,2.1,0,83,293.7,2.997,2.5,0.023,81.1,50.8,163.4,9.4,65,142.8,7.076,13.1,0.055,82.3,45.2,18.7,32,27.4,12.7,0.3,22,17.2,59.7,0,53.1,53.8,10.073,28.1
6,190715_5,APOE2/2M,M,APOE2/2,A,openfield,1,2Objects_NOR_2,40,52.1,0.435254804,11.4,15.1,36.9,7.6,12,37,67.6,0.564745196,7.4,37.1,30.5,10.5,15.3,90,225.2,5.393,19.5,0.03,134,46.1,210.1,16.1,59,103.1,4.548,0,0.033,76.1,60.7,27.5,21,13.5,53.1,5.9,28,85.2,0.4,22.5,,,9.941,43.6
7,190715_7,APOE2/2F,F,APOE2/2,D,openfield,1,2Objects_NOR,36,23.6,0.577017115,14.6,20.9,2.7,5.9,0,33,17.3,0.422982885,13.6,14.1,3.3,4.8,1.3,108,390.4,10.473,2.4,0.034,220.6,88.5,302.5,14.7,82,93.1,9.355,0,0.085,81.9,27.9,9.8,30,19,21.9,0,20,15.7,38.7,0,27.4,28.8,19.828,24.5
8,190715_8,APOE2/2F,F,APOE2/2,D,openfield,1,2Objects_NOR_2,26,16.7,0.466480447,3.5,16.7,0,3.1,0,27,19.1,0.533519553,31.9,19.1,0,3.5,0,109,378.4,7.79,20.2,0.028,195.7,85.4,276.9,15.7,63,89.1,7.958,0,0.094,81.2,3.3,0,29,26.3,8.9,0,33,18,12.2,0,,,15.748,15.7
9,190715_9,APOE2/2M,M,APOE2/2,A,openfield,1,2Objects_NOR,31,24.9,0.54845815,24,20.7,4.2,7.5,1.9,21,20.5,0.45154185,27.3,15.5,5,7.2,0,94,329.7,5.175,4.7,0.021,141.6,110.4,230.5,23.2,54,112.3,5.541,0,0.046,88.9,30.9,2.5,31,22.5,41,0.1,14,8.3,47.1,0.1,64.5,46,10.716,25.7
10,190715_10,APOE2/2M,M,APOE2/2,A,openfield,1,2Objects_NOR_2,21,11.6,0.328611898,13.9,11.6,0,3.6,0,26,23.7,0.671388102,18.2,21.3,2.4,3.8,0,93,284.5,6.164,10,0.032,141.2,53.6,242.1,12.6,86,139.6,8.415,0,0.053,100.9,56.8,6.1,38,31.6,11.3,0.2,31,29.4,4.2,0.1,,,14.579,18.7
11,190715_1,APOE3/3M,M,APOE3/3,B,Dilutions,1,2Objects_NOR_2,4,2.9,0.25,3.6,2.9,0,2,0,10,8.7,0.75,5.2,6.5,2.1,1.4,0,29,47.4,1.976,7.4,0.045,37.7,6,57.4,0,15,22.1,1.497,1.4,0.076,19.7,0,0,8,7.1,0.8,0,8,7,49.1,0,,,3.473,0
12,190715_2,APOE3/3M,M,APOE3/3,B,Dilutions,1,2Objects_NOR_2,1,1.3,0.173333333,32.6,1.3,0,0.6,0,8,6.2,0.826666667,0,6.2,0,1.6,0,18,76,4.525,4.9,0.063,62.7,9.1,77.5,1.6,13,18,1.099,0,0.074,14.8,0,0,4,2.2,11.7,0,7,6.3,116,0,,,5.624,1.6
